det(VALLEY-3, THE-1)
cop(like-25, is-24)
ccomp(see-21, like-25)
expl(plenty-30, there-27)
aux(plenty-30, will-28)
cop(plenty-30, be-29)
parataxis(hesitated-4, plenty-30)
prep(plenty-30, of-31)
pobj(of-31, time-32)
aux(scratch-34, to-33)
vmod(plenty-30, scratch-34)
prt(scratch-34, out-35)
poss(eyes-37, your-36)
dobj(scratch-34, eyes-37)
advmod(scratch-34, afterwards-38)

nsubj(placed-2, She-1)
root(ROOT-0, placed-2)
det(gum-4, the-3)
dobj(placed-2, gum-4)
prep(placed-2, in-5)
poss(mouth-7, her-6)
pobj(in-5, mouth-7)
cc(placed-2, and-8)
conj(placed-2, tried-9)
aux(chew-11, to-10)
xcomp(tried-9, chew-11)
dobj(chew-11, it-12)
cc(placed-2, but-14)
advmod(shut-17, when-15)
nsubj(shut-17, she-16)
advcl(went-24, shut-17)
poss(jaws-19, her-18)
dobj(shut-17, jaws-19)
advmod(went-24, together-20)
det(tusk-23, the-21)
amod(tusk-23, great-22)
nsubj(went-24, tusk-23)
conj(placed-2, went-24)
advmod(went-24, straight-25)
prep(went-24, through-26)
poss(neck-28, her-27)
pobj(through-26, neck-28)
cc(went-24, and-29)
conj(went-24, came-30)
prt(came-30, out-31)
prep(came-30, at-32)
det(back-34, the-33)
pobj(at-32, back-34)

det(hag-3, The-1)
amod(hag-3, old-2)
nsubj(gave-4, hag-3)
root(ROOT-0, gave-4)
det(scream-6, a-5)
dobj(gave-4, scream-6)
cc(gave-4, and-7)
conj(gave-4, put-8)
prt(put-8, up-9)
poss(hands-11, her-10)
dobj(put-8, hands-11)
aux(pull-13, to-12)
vmod(hands-11, pull-13)
prt(pull-13, out-14)
det(tusk-16, the-15)
dobj(pull-13, tusk-16)
advmod(pull-13, again-17)
cc(gave-4, but-19)
advmod(great-21, so-20)
nsubj(excitement-24, great-21)
cop(excitement-24, was-22)
poss(excitement-24, her-23)
conj(gave-4, excitement-24)
mark(scratched-30, that-25)
prep(scratched-30, in-26)
poss(haste-28, her-27)
pobj(in-26, haste-28)
nsubj(scratched-30, she-29)
ccomp(excitement-24, scratched-30)
prt(scratched-30, out-31)
predet(eyes-35, both-32)
poss(eyes-35, her-33)
amod(eyes-35, own-34)
dobj(scratched-30, eyes-35)
cc(scratched-30, and-37)
aux(see-41, could-38)
neg(longer-40, no-39)
advmod(see-41, longer-40)
conj(scratched-30, see-41)
advmod(standing-46, where-42)
det(Princess-44, the-43)
nsubj(standing-46, Princess-44)
aux(standing-46, was-45)
advcl(see-41, standing-46)

dep(ran-3, So-1)
nsubj(ran-3, Truella-2)
root(ROOT-0, ran-3)
prep(ran-3, through-4)
det(cave-6, the-5)
pobj(through-4, cave-6)
cc(ran-3, and-7)
conj(ran-3, came-8)
aux(door-12, to-9)
det(door-12, a-11)
xcomp(came-8, door-12)
prep(knocked-17, on-14)
pobj(on-14, which-15)
nsubj(knocked-17, she-16)
ccomp(door-12, knocked-17)

advmod(flew-3, Instantly-1)
nsubj(flew-3, it-2)
root(ROOT-0, flew-3)
acomp(flew-3, open-4)
cc(flew-3, and-6)
prep(saw-10, before-7)
pobj(before-7, her-8)
nsubj(saw-10, she-9)
conj(flew-3, saw-10)
det(cave-12, another-11)
dobj(saw-10, cave-12)
det(time-15, this-14)
appos(cave-12, time-15)
advmod(lighted-17, brightly-16)
amod(time-15, lighted-17)
cc(lighted-17, but-19)
conj(lighted-17, filled-20)
prep(filled-20, with-21)
pobj(with-21, knives-22)
cc(knives-22, and-23)
conj(knives-22, daggers-24)
nsubj(flying-28, which-26)
aux(flying-28, were-27)
rcmod(knives-22, flying-28)
dep(flying-28, about-29)
prep(flying-28, in-30)
det(direction-32, every-31)
pobj(in-30, direction-32)

aux(enter-2, To-1)
csubj(impossible-6, enter-2)
det(cave-4, this-3)
dobj(enter-2, cave-4)
cop(impossible-6, was-5)
root(ROOT-0, impossible-6)
mark(saw-11, for-8)
det(Princess-10, the-9)
nsubj(saw-11, Princess-10)
advcl(impossible-6, saw-11)
nsubjpass(pierced-16, she-12)
aux(pierced-16, would-13)
advmod(pierced-16, immediately-14)
auxpass(pierced-16, be-15)
ccomp(saw-11, pierced-16)
prep(pierced-16, by-17)
pobj(by-17, dozens-18)
prep(dozens-18, of-19)
det(daggers-22, the-20)
amod(daggers-22, sharp-21)
pobj(of-19, daggers-22)

dep(hesitated-3, So-1)
nsubj(hesitated-3, she-2)
root(ROOT-0, hesitated-3)
prep(hesitated-3, for-4)
det(time-6, a-5)
pobj(for-4, time-6)
neg(knowing-9, not-8)
ccomp(hesitated-3, knowing-9)
advmod(proceed-12, how-10)
aux(proceed-12, to-11)
ccomp(knowing-9, proceed-12)
cc(hesitated-3, but-14)
vmod(took-23, chancing-16)
aux(remember-18, to-17)
xcomp(chancing-16, remember-18)
poss(basket-20, her-19)
dobj(remember-18, basket-20)
nsubj(took-23, she-22)
conj(hesitated-3, took-23)
prep(took-23, from-24)
pobj(from-24, it-25)
det(ball-28, the-26)
nn(ball-28, iron-27)
dobj(took-23, ball-28)
dobj(tossed-32, which-30)
nsubj(tossed-32, she-31)
rcmod(ball-28, tossed-32)
prep(tossed-32, into-33)
det(center-35, the-34)
pobj(into-33, center-35)
prep(center-35, of-36)
det(Cave-38, the-37)
pobj(of-36, Cave-38)
prep(Cave-38, of-39)
pobj(of-39, Daggers-40)

advmod(began-6, At-1)
advmod(At-1, once-2)
det(weapons-5, the-3)
amod(weapons-5, dangerous-4)
nsubj(began-6, weapons-5)
root(ROOT-0, began-6)
aux(strike-8, to-7)
xcomp(began-6, strike-8)
prep(strike-8, against-9)
det(ball-11, the-10)
pobj(against-9, ball-11)
cc(began-6, and-13)
advmod(soon-15, as-14)
advmod(broken-22, soon-15)
mark(touched-18, as-16)
nsubj(touched-18, they-17)
ccomp(soon-15, touched-18)
dobj(touched-18, it-19)
nsubjpass(broken-22, they-20)
auxpass(broken-22, were-21)
conj(began-6, broken-22)
cc(broken-22, and-23)
conj(broken-22, fell-24)
prep(fell-24, to-25)
det(floor-27, the-26)
pobj(to-25, floor-27)

prep(spoiled-14, In-1)
det(time-4, a-2)
amod(time-4, short-3)
pobj(In-1, time-4)
det(one-6, every-5)
nsubjpass(spoiled-14, one-6)
prep(one-6, of-7)
det(knives-9, the-8)
pobj(of-7, knives-9)
cc(knives-9, and-10)
conj(knives-9, daggers-11)
aux(spoiled-14, had-12)
auxpass(spoiled-14, been-13)
root(ROOT-0, spoiled-14)
prep(spoiled-14, by-15)
pobj(by-15, contact-16)
prep(spoiled-14, with-17)
det(ball-20, the-18)
nn(ball-20, iron-19)
pobj(with-17, ball-20)
cc(spoiled-14, and-22)
nsubj(passed-24, Truella-23)
conj(spoiled-14, passed-24)
advmod(passed-24, safely-25)
prep(passed-24, through-26)
det(cave-28, the-27)
pobj(through-26, cave-28)
cc(passed-24, and-29)
conj(passed-24, came-30)
prep(came-30, to-31)
det(stairway-34, another-32)
amod(stairway-34, long-33)
pobj(to-31, stairway-34)
vmod(stairway-34, leading-35)
advmod(leading-35, downward-36)

prep(reached-7, At-1)
det(bottom-3, the-2)
pobj(At-1, bottom-3)
prep(bottom-3, of-4)
pobj(of-4, this-5)
nsubj(reached-7, she-6)
root(ROOT-0, reached-7)
det(cave-10, the-8)
amod(cave-10, third-9)
dobj(reached-7, cave-10)
cc(reached-7, and-12)
conj(reached-7, came-13)
prep(came-13, upon-14)
det(monster-17, a-15)
amod(monster-17, horrible-16)
pobj(upon-14, monster-17)

nsubj(had-2, It-1)
root(ROOT-0, had-2)
det(body-4, the-3)
dobj(had-2, body-4)
prep(body-4, of-5)
det(zebra-7, a-6)
pobj(of-5, zebra-7)
det(legs-10, the-9)
conj(body-4, legs-10)
prep(legs-10, of-11)
det(rhinoceros-13, a-12)
pobj(of-11, rhinoceros-13)
det(neck-16, the-15)
conj(body-4, neck-16)
prep(neck-16, of-17)
det(giraffe-19, a-18)
pobj(of-17, giraffe-19)
det(head-22, the-21)
conj(body-4, head-22)
prep(head-22, of-23)
det(dog-26, a-24)
nn(dog-26, bull-25)
pobj(of-23, dog-26)
cc(body-4, and-28)
num(tails-31, three-29)
amod(tails-31, corrugated-30)
conj(body-4, tails-31)

det(monster-2, This-1)
nsubj(began-5, monster-2)
advmod(began-5, at-3)
advmod(at-3, once-4)
root(ROOT-0, began-5)
aux(growl-7, to-6)
xcomp(began-5, growl-7)
cc(growl-7, and-8)
conj(growl-7, run-9)
prep(growl-7, toward-10)
pobj(toward-10, her-11)
ccomp(growl-7, showing-13)
poss(teeth-16, its-14)
amod(teeth-16, terrible-15)
dobj(showing-13, teeth-16)
cc(showing-13, and-17)
conj(showing-13, lashing-18)
poss(tails-21, its-19)
num(tails-21, three-20)
dobj(lashing-18, tails-21)

det(Princess-2, The-1)
nsubj(snatched-3, Princess-2)
root(ROOT-0, snatched-3)
det(mirror-5, the-4)
dobj(snatched-3, mirror-5)
prep(snatched-3, from-6)
poss(basket-8, her-7)
pobj(from-6, basket-8)
cc(snatched-3, and-9)
mark(came-14, as-11)
det(creature-13, the-12)
nsubj(came-14, creature-13)
advcl(held-19, came-14)
prep(came-14, near-15)
pobj(near-15, her-16)
nsubj(held-19, she-18)
conj(snatched-3, held-19)
det(surface-22, the-20)
amod(surface-22, glittering-21)
dobj(held-19, surface-22)
prep(held-19, before-23)
poss(eyes-25, its-24)
pobj(before-23, eyes-25)

nsubj(gave-2, It-1)
root(ROOT-0, gave-2)
num(look-4, one-3)
dobj(gave-2, look-4)
prep(gave-2, into-5)
det(mirror-7, the-6)
pobj(into-5, mirror-7)
cc(gave-2, and-8)
conj(gave-2, fell-9)
acomp(fell-9, lifeless-10)
prep(lifeless-10, at-11)
poss(feet-13, her-12)
pobj(at-11, feet-13)
cop(frightened-16, being-15)
xcomp(fell-9, frightened-16)
prep(frightened-16, to-17)
pobj(to-17, death-18)
prep(frightened-16, by-19)
poss(reflection-22, its-20)
amod(reflection-22, own-21)
pobj(by-19, reflection-22)
prep(reflection-22, in-23)
det(mirror-25, the-24)
pobj(in-23, mirror-25)

nsubj(walked-3, Truella-1)
advmod(walked-3, now-2)
root(ROOT-0, walked-3)
prep(walked-3, through-4)
amod(caves-7, several-5)
amod(caves-7, more-6)
pobj(through-4, caves-7)
cc(walked-3, and-8)
conj(walked-3, descended-9)
det(flight-12, a-10)
amod(flight-12, long-11)
dobj(descended-9, flight-12)
prep(flight-12, of-13)
pobj(of-13, stairs-14)
nsubj(brought-17, which-16)
rcmod(stairs-14, brought-17)
dobj(brought-17, her-18)
prep(brought-17, to-19)
det(door-21, another-20)
pobj(to-19, door-21)
prep(brought-17, on-23)
nsubj(sign-27, which-24)
cop(sign-27, was-25)
det(sign-27, a-26)
pcomp(on-23, sign-27)
nsubj(read-29, that-28)
rcmod(sign-27, read-29)
nn(WIZARD-33, A.-32)
nsubj(Office-37, WIZARD-33)
appos(WIZARD-33, Esq.-35)
dep(read-29, Office-37)
dobj(Office-37, hours-38)
prep(Office-37, From-40)
pobj(From-40, 10:45-41)
prep(Office-37, until-42)
det(quarter-44, a-43)
pobj(until-42, quarter-44)
prep(quarter-44, to-45)
pobj(to-45, 11-46)

det(Princess-2, The-1)
nsubj(knocked-22, Princess-2)
vmod(knocked-22, knowing-4)
mark(reached-9, that-5)
nsubj(reached-9, she-6)
aux(reached-9, had-7)
advmod(reached-9, now-8)
ccomp(knowing-4, reached-9)
det(den-11, the-10)
dobj(reached-9, den-11)
prep(den-11, of-12)
det(Wizard-14, the-13)
pobj(of-12, Wizard-14)
nsubj(stolen-17, who-15)
aux(stolen-17, had-16)
rcmod(den-11, stolen-17)
poss(toe-20, her-18)
amod(toe-20, big-19)
dobj(stolen-17, toe-20)
root(ROOT-0, knocked-22)
advmod(knocked-22, boldly-23)
prep(knocked-22, on-24)
det(door-26, the-25)
pobj(on-24, door-26)

root(ROOT-0, Come-2)
prt(Come-2, in-3)

root(ROOT-0, called-1)
det(voice-3, a-2)
dobj(called-1, voice-3)

nsubj(obeyed-2, Truella-1)
root(ROOT-0, obeyed-2)
cc(obeyed-2, and-4)
conj(obeyed-2, found-5)
dobj(found-5, herself-6)
prep(found-5, in-7)
det(cave-10, a-8)
amod(cave-10, large-9)
pobj(in-7, cave-10)
det(walls-13, the-12)
appos(cave-10, walls-13)
prep(walls-13, of-14)
nsubjpass(lined-17, which-15)
auxpass(lined-17, were-16)
pcomp(of-14, lined-17)
prep(lined-17, with-18)
pobj(with-18, rubies-19)

prep(lights-10, In-1)
pobj(In-1, each-2)
prep(each-2, of-3)
det(four-5, the-4)
pobj(of-3, four-5)
nsubj(lights-10, corners-6)
cop(lights-10, were-7)
amod(lights-10, big-8)
amod(lights-10, electric-9)
root(ROOT-0, lights-10)
cc(lights-10, and-12)
nsubj(filled-20, these-13)
vmod(these-13, shining-15)
prep(shining-15, upon-16)
det(rubies-18, the-17)
pobj(upon-16, rubies-18)
conj(lights-10, filled-20)
det(cave-22, the-21)
dobj(filled-20, cave-22)
prep(filled-20, with-23)
det(glow-27, a-24)
amod(glow-27, deep-25)
amod(glow-27, red-26)
pobj(with-23, glow-27)

det(Wizard-2, The-1)
root(ROOT-0, Wizard-2)
nsubj(sat-4, himself-3)
rcmod(Wizard-2, sat-4)
prep(sat-4, at-5)
poss(desk-7, his-6)
pobj(at-5, desk-7)
prep(sat-4, in-8)
pobj(in-8, one-9)
prep(one-9, of-10)
det(corners-12, the-11)
pobj(of-10, corners-12)
cc(one-9, and-14)
advmod(entered-18, when-15)
det(Princess-17, the-16)
nsubj(entered-18, Princess-17)
conj(one-9, entered-18)
nsubj(looked-20, he-19)
ccomp(entered-18, looked-20)
prt(looked-20, up-21)
cc(looked-20, and-22)
conj(looked-20, exclaimed-23)
dep(sat-4, What-26)

cop(you-3, Is-1)
nsubj(you-3, it-2)
root(ROOT-0, you-3)

advmod(expect-6, Really-1)
nsubj(expect-6, I-3)
aux(expect-6, did-4)
neg(expect-6, not-5)
root(ROOT-0, expect-6)
aux(see-8, to-7)
xcomp(expect-6, see-8)
dobj(see-8, you-9)

advmod(manage-4, How-1)
aux(manage-4, did-2)
nsubj(manage-4, you-3)
root(ROOT-0, manage-4)
aux(pass-6, to-5)
xcomp(manage-4, pass-6)
det(guards-8, the-7)
dobj(pass-6, guards-8)
nsubj(placed-10, I-9)
rcmod(guards-8, placed-10)
prep(placed-10, within-11)
det(caves-13, the-12)
pobj(within-11, caves-13)
cc(caves-13, and-14)
conj(caves-13, passageways-15)
aux(prevent-17, to-16)
xcomp(placed-10, prevent-17)
poss(coming-19, your-18)
dobj(prevent-17, coming-19)
advmod(prevent-17, here-20)

discourse(difficult-7, Oh-2)
nsubj(difficult-7, that-4)
cop(difficult-7, was-5)
neg(difficult-7, not-6)
ccomp(protected-20, difficult-7)
parataxis(protected-20, answered-10)
nsubj(answered-10, Truella-11)
mark(know-17, for-14)
nsubj(know-17, you-15)
aux(know-17, must-16)
csubjpass(protected-20, know-17)
dobj(know-17, I-18)
auxpass(protected-20, am-19)
root(ROOT-0, protected-20)
prep(protected-20, by-21)
det(stronger-24, a-22)
dep(stronger-24, power-23)
pobj(by-21, stronger-24)
prep(stronger-24, than-25)
poss(own-27, your-26)
pobj(than-25, own-27)

det(Wizard-2, The-1)
nsubj(annoyed-5, Wizard-2)
cop(annoyed-5, was-3)
advmod(annoyed-5, much-4)
root(ROOT-0, annoyed-5)
prep(annoyed-5, at-6)
det(reply-8, this-7)
pobj(at-6, reply-8)
mark(knew-12, for-10)
nsubj(knew-12, he-11)
advcl(annoyed-5, knew-12)
nsubj(true-15, it-13)
cop(true-15, was-14)
ccomp(knew-12, true-15)
cc(knew-12, and-17)
mark(hope-24, that-18)
advmod(could-22, only-19)
prep(could-22, by-20)
pobj(by-20, cunning-21)
advcl(hope-24, could-22)
nsubj(hope-24, he-23)
conj(knew-12, hope-24)
aux(oppose-26, to-25)
xcomp(hope-24, oppose-26)
det(Princess-29, the-27)
amod(Princess-29, pretty-28)
dobj(oppose-26, Princess-29)

advmod(resolved-5, Still-1)
nsubjpass(resolved-5, he-3)
auxpass(resolved-5, was-4)
root(ROOT-0, resolved-5)
neg(give-8, not-6)
aux(give-8, to-7)
xcomp(resolved-5, give-8)
prt(give-8, up-9)
det(toe-12, the-10)
amod(toe-12, big-11)
dobj(give-8, toe-12)
mark(obliged-14, unless-13)
advcl(resolved-5, obliged-14)
xcomp(obliged-14, to-15)
mark(necessary-20, for-17)
nsubj(necessary-20, it-18)
cop(necessary-20, was-19)
advcl(obliged-14, necessary-20)
aux(complete-22, to-21)
xcomp(necessary-20, complete-22)
det(compound-25, the-23)
amod(compound-25, magic-24)
dobj(complete-22, compound-25)

dobj(want-5, What-2)
aux(want-5, do-3)
nsubj(want-5, you-4)
root(ROOT-0, want-5)

nsubj(asked-2, he-1)
root(ROOT-0, asked-2)
prep(asked-2, after-4)
det(moment-6, a-5)
poss(thought-8, moment-6)
possessive(moment-6, 's-7)
pobj(after-4, thought-8)

nsubj(want-3, I-2)
root(ROOT-0, want-3)
det(toe-5, the-4)
dobj(want-3, toe-5)
nsubj(stole-7, you-6)
rcmod(toe-5, stole-7)
prep(stole-7, from-8)
pobj(from-8, me-9)
mark(asleep-13, while-10)
nsubj(asleep-13, I-11)
cop(asleep-13, was-12)
advcl(stole-7, asleep-13)

det(Wizard-2, The-1)
nsubj(knew-3, Wizard-2)
root(ROOT-0, knew-3)
nsubj(useless-6, it-4)
cop(useless-6, was-5)
ccomp(knew-3, useless-6)
aux(deny-8, to-7)
xcomp(useless-6, deny-8)
det(theft-10, the-9)
dobj(deny-8, theft-10)
dep(knew-3, so-12)
nsubj(replied-14, he-13)
ccomp(knew-3, replied-14)
nsubj(take-20, Very-17)
advmod(Very-17, well-18)
ccomp(replied-14, take-20)
det(chair-22, a-21)
dobj(take-20, chair-22)
cc(knew-3, and-24)
nsubj(see-27, I-25)
aux(see-27, will-26)
conj(knew-3, see-27)
mark(find-31, if-28)
nsubj(find-31, I-29)
aux(find-31, can-30)
advcl(see-27, find-31)
dobj(find-31, it-32)

cc(feared-3, But-1)
nsubj(feared-3, Truella-2)
root(ROOT-0, feared-3)
det(man-6, the-4)
amod(man-6, little-5)
nsubj(deceiving-8, man-6)
aux(deceiving-8, was-7)
ccomp(feared-3, deceiving-8)
dobj(deceiving-8, her-9)
advmod(turned-14, so-11)
advmod(turned-14, when-12)
nsubj(turned-14, he-13)
advcl(took-18, turned-14)
poss(back-16, his-15)
dobj(turned-14, back-16)
nsubj(took-18, she-17)
parataxis(feared-3, took-18)
det(veil-21, the-19)
amod(veil-21, magic-20)
dobj(took-18, veil-21)
prep(took-18, from-22)
poss(basket-24, her-23)
pobj(from-22, basket-24)
cc(took-18, and-25)
conj(took-18, threw-26)
dobj(threw-26, it-27)
prep(threw-26, over-28)
poss(head-30, her-29)
pobj(over-28, head-30)

advmod(began-3, Immediately-1)
nsubj(began-3, it-2)
root(ROOT-0, began-3)
xcomp(began-3, unfolding-4)
mark(covered-7, until-5)
nsubj(covered-7, it-6)
advcl(unfolding-4, covered-7)
dobj(covered-7, her-8)
advmod(covered-7, completely-9)
prep(covered-7, from-11)
pobj(from-11, head-12)
prep(covered-7, to-13)
pobj(to-13, foot-14)

det(Wizard-2, The-1)
nsubj(walked-3, Wizard-2)
root(ROOT-0, walked-3)
prt(walked-3, over-4)
prep(walked-3, to-5)
det(cupboard-7, a-6)
pobj(to-5, cupboard-7)
dobj(opened-11, which-9)
nsubj(opened-11, he-10)
rcmod(cupboard-7, opened-11)
cc(walked-3, and-13)
mark(pretending-16, while-15)
advcl(turned-25, pretending-16)
aux(search-18, to-17)
xcomp(pretending-16, search-18)
prep(search-18, for-19)
det(toe-21, the-20)
pobj(for-19, toe-21)
nsubj(turned-25, he-23)
advmod(turned-25, suddenly-24)
conj(walked-3, turned-25)
prep(turned-25, on-26)
det(faucet-29, a-27)
amod(faucet-29, big-28)
pobj(on-26, faucet-29)
nsubjpass(concealed-32, that-30)
auxpass(concealed-32, was-31)
rcmod(faucet-29, concealed-32)
prep(concealed-32, under-33)
det(shelf-35, a-34)
pobj(under-33, shelf-35)

dep(flashed-9, At-1)
mark(rolled-5, once-2)
det(thunder-4, the-3)
nsubj(rolled-5, thunder-4)
pcomp(At-1, rolled-5)
det(lightning-8, the-7)
nsubj(flashed-9, lightning-8)
root(ROOT-0, flashed-9)
cc(flashed-9, and-11)
prep(began-22, from-12)
det(ceiling-15, the-13)
amod(ceiling-15, arched-14)
pobj(from-12, ceiling-15)
prep(ceiling-15, of-16)
det(drops-19, the-17)
nn(drops-19, cavern-18)
pobj(of-16, drops-19)
prep(drops-19, of-20)
pobj(of-20, fire-21)
conj(flashed-9, began-22)
prep(began-22, to-23)
pobj(to-23, fall-24)
xcomp(began-22, coming-26)
dobj(coming-26, thicker-27)
cc(thicker-27, and-28)
conj(thicker-27, thicker-29)
prep(thicker-27, until-30)
det(shower-33, a-31)
amod(shower-33, perfect-32)
nsubj(filled-37, shower-33)
prep(shower-33, of-34)
amod(drops-36, burning-35)
pobj(of-34, drops-36)
pcomp(until-30, filled-37)
det(room-39, the-38)
dobj(filled-37, room-39)

nsubj(fell-2, These-1)
root(ROOT-0, fell-2)
xcomp(fell-2, hissing-3)
prep(hissing-3, upon-4)
poss(veil-7, Truella-5)
possessive(Truella-5, 's-6)
pobj(upon-4, veil-7)
cc(fell-2, but-9)
aux(penetrate-12, could-10)
neg(penetrate-12, not-11)
conj(fell-2, penetrate-12)
dobj(penetrate-12, it-13)
mark(bounded-18, for-15)
nsubj(bounded-18, they-16)
advmod(bounded-18, all-17)
advcl(penetrate-12, bounded-18)
prt(bounded-18, off-19)
cc(bounded-18, and-20)
auxpass(scattered-22, were-21)
conj(bounded-18, scattered-22)
prep(scattered-22, upon-23)
det(floor-26, the-24)
amod(floor-26, rocky-25)
pobj(upon-23, floor-26)
advmod(burned-31, where-28)
nsubj(burned-31, they-29)
advmod(burned-31, soon-30)
rcmod(floor-26, burned-31)
dobj(burned-31, themselves-32)
prt(burned-31, out-33)

dep(gave-5, Seeing-1)
dobj(Seeing-1, this-2)
det(Wizard-4, the-3)
nsubj(gave-5, Wizard-4)
root(ROOT-0, gave-5)
det(sigh-7, a-6)
dobj(gave-5, sigh-7)
prep(sigh-7, of-8)
pobj(of-8, disappointment-9)
cc(gave-5, and-10)
conj(gave-5, turned-11)
prt(turned-11, off-12)
det(faucet-14, the-13)
dobj(turned-11, faucet-14)
advmod(ceased-19, when-16)
det(fire-drops-18, the-17)
nsubj(ceased-19, fire-drops-18)
advcl(gave-5, ceased-19)
aux(fall-21, to-20)
xcomp(ceased-19, fall-21)

discourse(excuse-3, Please-2)
ccomp(said-10, excuse-3)
det(interruption-6, this-4)
amod(interruption-6, little-5)
dobj(excuse-3, interruption-6)
nsubj(said-10, he-9)
root(ROOT-0, said-10)
advmod(cause-19, as-12)
mark(cause-19, if-13)
nsubj(cause-19, he-14)
aux(cause-19, had-15)
neg(cause-19, not-16)
cop(cause-19, been-17)
det(cause-19, the-18)
advcl(said-10, cause-19)
prep(cause-19, of-20)
pobj(of-20, it-21)
npadvmod(it-21, himself-22)

nsubj(find-4, I-2)
aux(find-4, 'll-3)
root(ROOT-0, find-4)
det(toe-6, the-5)
dobj(find-4, toe-6)
prep(toe-6, in-7)
det(minutes-10, a-8)
amod(minutes-10, few-9)
pobj(in-7, minutes-10)

nsubj(mislaid-4, I-1)
aux(mislaid-4, must-2)
aux(mislaid-4, have-3)
root(ROOT-0, mislaid-4)
dep(mislaid-4, it-5)
advmod(it-5, somewhere-6)

cc(suspected-3, But-1)
nsubj(suspected-3, Truella-2)
root(ROOT-0, suspected-3)
nsubj(was-5, he-4)
ccomp(suspected-3, was-5)
advmod(was-5, up-6)
prep(up-6, to-7)
amod(mischief-9, more-8)
pobj(to-7, mischief-9)
cc(was-5, and-11)
conj(was-5, was-12)
prep(was-12, on-13)
poss(guard-15, her-14)
pobj(on-13, guard-15)

nsubj(saw-2, She-1)
root(ROOT-0, saw-2)
nsubj(press-5, him-3)
advmod(press-5, stealthily-4)
ccomp(saw-2, press-5)
det(button-7, a-6)
dobj(press-5, button-7)
cc(saw-2, and-9)
prep(opened-17, in-10)
det(instant-13, the-11)
amod(instant-13, same-12)
pobj(in-10, instant-13)
det(gulf-16, a-14)
amod(gulf-16, deep-15)
nsubj(opened-17, gulf-16)
conj(saw-2, opened-17)
prep(opened-17, in-18)
det(floor-20, the-19)
pobj(in-18, floor-20)
prep(floor-20, of-21)
det(cave-23, the-22)
pobj(of-21, cave-23)
det(way-26, half-25)
conj(cave-23, way-26)
prep(way-26, between-27)
det(Princess-29, the-28)
pobj(between-27, Princess-29)
cc(cave-23, and-30)
det(Wizard-32, the-31)
conj(cave-23, Wizard-32)

nsubj(know-4, Truella-1)
aux(know-4, did-2)
neg(know-4, not-3)
root(ROOT-0, know-4)
dobj(meant-7, what-5)
nsubj(meant-7, this-6)
ccomp(know-4, meant-7)
prep(meant-7, at-9)
pobj(at-9, first-10)
mark(was-14, unless-12)
nsubj(was-14, it-13)
advcl(meant-7, was-14)
aux(prevent-16, to-15)
xcomp(was-14, prevent-16)
nsubj(getting-18, her-17)
dep(prevent-16, getting-18)
prep(getting-18, across-19)
det(room-21, the-20)
pobj(across-19, room-21)
prep(getting-18, to-22)
advmod(was-26, where-23)
poss(toe-25, her-24)
nsubj(was-26, toe-25)
pcomp(to-22, was-26)
cc(noticed-31, but-28)
advmod(noticed-31, soon-29)
nsubj(noticed-31, she-30)
conj(know-4, noticed-31)
mark(moving-36, that-32)
det(gulf-34, the-33)
nsubj(moving-36, gulf-34)
aux(moving-36, was-35)
ccomp(noticed-31, moving-36)
prep(moving-36, toward-37)
pobj(toward-37, her-38)
advmod(moving-36, slowly-40)
cc(noticed-31, but-42)
conj(noticed-31, steadily-43)
cc(know-4, and-45)
mark(extended-49, as-47)
nsubj(extended-49, it-48)
advcl(sure-63, extended-49)
prep(extended-49, across-50)
det(cave-52, the-51)
pobj(across-50, cave-52)
prep(cave-52, from-53)
pobj(from-53, wall-54)
prep(extended-49, to-55)
pobj(to-55, wall-56)
nsubj(sure-63, it-58)
aux(sure-63, would-59)
prep(sure-63, in-60)
pobj(in-60, time-61)
cop(sure-63, be-62)
conj(know-4, sure-63)
aux(reach-65, to-64)
xcomp(sure-63, reach-65)
det(spot-67, the-66)
dobj(reach-65, spot-67)
advmod(stood-70, where-68)
nsubj(stood-70, she-69)
advcl(sure-63, stood-70)
advmod(fall-79, when-72)
nsubj(fall-79, she-73)
aux(fall-79, would-74)
prep(fall-79, of-76)
pobj(of-76, course-77)
advcl(sure-63, fall-79)
prep(fall-79, into-80)
pobj(into-80, it-81)

advmod(saw-3, When-1)
nsubj(saw-3, she-2)
advcl(found-29, saw-3)
poss(danger-5, her-4)
dobj(saw-3, danger-5)
det(Princess-7, the-6)
nsubj(became-8, Princess-7)
dep(saw-3, became-8)
acomp(became-8, frightened-9)
cc(became-8, and-11)
conj(became-8, tried-12)
aux(escape-14, to-13)
xcomp(tried-12, escape-14)
prep(escape-14, through-15)
det(door-17, the-16)
pobj(through-15, door-17)
prep(entered-22, by-18)
pobj(by-18, which-19)
nsubj(entered-22, she-20)
aux(entered-22, had-21)
rcmod(door-17, entered-22)
cc(became-8, but-24)
conj(became-8, to-25)
poss(dismay-27, her-26)
pobj(to-25, dismay-27)
nsubj(found-29, she-28)
root(ROOT-0, found-29)
nsubj(locked-31, it-30)
ccomp(found-29, locked-31)

advmod(turned-3, Then-1)
nsubj(turned-3, she-2)
root(ROOT-0, turned-3)
aux(look-5, to-4)
xcomp(turned-3, look-5)
